,NumItems,NumKnapsacks,CapacityType,Scipy,Pulp,Gekko
81,50,5,Different,0.00426173210144043,0.028278112411499023,0.0
82,100,5,Equal,0.005894899368286133,0.03781938552856445,0.0
83,100,5,Different,0.008054494857788086,0.04653525352478027,0.0
84,150,5,Equal,0.008206605911254883,0.05089616775512695,0.0
85,150,5,Different,0.011062145233154297,0.04653596878051758,0.0
86,200,5,Equal,0.010897159576416016,0.06430721282958984,0.0
87,200,5,Different,0.012131929397583008,0.05951333045959473,0.0
88,250,5,Equal,0.0177762508392334,0.07550334930419922,0.0
89,250,5,Different,0.016010284423828125,0.07475399971008301,0.0
90,300,5,Equal,0.023822784423828125,0.08170127868652344,0.0
91,300,5,Different,0.02101874351501465,0.09151053428649902,0.0
92,350,5,Equal,0.02580404281616211,0.11489081382751465,0.0
93,350,5,Different,0.026763200759887695,0.10872626304626465,0.0
94,400,5,Equal,0.034305572509765625,0.13010215759277344,0.0
95,400,5,Different,0.03219032287597656,0.13733983039855957,0.0
96,450,5,Equal,0.03946208953857422,0.15808463096618652,0.0
97,450,5,Different,0.032317399978637695,0.11173605918884277,0.0
98,500,5,Equal,0.03673720359802246,0.12280869483947754,0.0
99,500,5,Different,0.03750109672546387,0.1354811191558838,0.0
100,550,5,Equal,0.042092323303222656,0.12904572486877441,0.0
101,550,5,Different,0.05053997039794922,0.16380643844604492,0.0
102,600,5,Equal,0.05476975440979004,0.2010023593902588,0.0
103,600,5,Different,0.04916977882385254,0.15047073364257812,0.0
104,650,5,Equal,0.051271677017211914,0.2978074550628662,0.0
105,650,5,Different,0.0550079345703125,0.15492749214172363,0.0
106,700,5,Equal,0.0571284294128418,0.1703166961669922,0.0
107,700,5,Different,0.07397294044494629,0.22896909713745117,0.0
108,750,5,Equal,0.06478428840637207,0.17715811729431152,0.0
109,750,5,Different,0.09688782691955566,0.19005680084228516,0.0
110,800,5,Equal,0.08136749267578125,0.2119290828704834,0.0
111,800,5,Different,0.08372640609741211,0.198988676071167,0.0
112,850,5,Equal,0.10742521286010742,0.28440403938293457,0.0
113,850,5,Different,0.10336422920227051,0.23065638542175293,0.0
114,900,5,Equal,0.09925365447998047,0.2712838649749756,0.0
115,900,5,Different,0.10877752304077148,0.34337806701660156,0.0
116,950,5,Equal,0.16932249069213867,0.34329795837402344,0.0
117,950,5,Different,0.18165898323059082,0.4221463203430176,0.0
118,1000,5,Equal,0.1866769790649414,0.4004402160644531,0.0
119,1000,5,Different,0.21420598030090332,0.402254581451416,0.0
120,50,10,Equal,0.007940292358398438,0.056066274642944336,0.0
121,50,10,Different,0.006399869918823242,0.04723715782165527,0.0
122,100,10,Equal,0.012577295303344727,0.0977487564086914,0.0
123,100,10,Different,0.008313179016113281,0.0641934871673584,0.0
124,150,10,Equal,0.012616872787475586,0.07886576652526855,0.0
125,150,10,Different,0.012753725051879883,0.07433819770812988,0.0
126,200,10,Equal,0.024364471435546875,0.09956884384155273,0.0
127,200,10,Different,0.02630138397216797,0.13635039329528809,0.0
128,250,10,Equal,0.030513525009155273,0.16726350784301758,0.0
129,250,10,Different,0.028692007064819336,0.16057085990905762,0.0
130,300,10,Equal,0.048258304595947266,0.1700756549835205,0.0
131,300,10,Different,0.0483858585357666,0.18617701530456543,0.0
132,350,10,Equal,0.04925107955932617,0.1941666603088379,0.0
133,350,10,Different,0.04684257507324219,0.20445680618286133,0.0
134,400,10,Equal,0.04598569869995117,0.20597219467163086,0.0
135,400,10,Different,0.0443723201751709,0.17856693267822266,0.0
136,450,10,Equal,0.05599498748779297,0.20324254035949707,0.0
137,450,10,Different,0.053598880767822266,0.253741979598999,0.0
138,500,10,Equal,0.06325984001159668,0.22340679168701172,0.0
139,500,10,Different,0.07312607765197754,0.30175209045410156,0.0
140,550,10,Equal,0.0818948745727539,0.25993824005126953,0.0
141,550,10,Different,0.09221696853637695,0.3050518035888672,0.0
142,600,10,Equal,0.09502792358398438,0.2808420658111572,0.0
143,600,10,Different,0.10550618171691895,0.3305392265319824,0.0
144,650,10,Equal,0.13234591484069824,0.3461027145385742,0.0
145,650,10,Different,0.11918210983276367,0.3043041229248047,0.0
146,700,10,Equal,0.12552475929260254,0.33466148376464844,0.0
147,700,10,Different,0.19723200798034668,0.3480534553527832,0.0
148,750,10,Equal,0.2061173915863037,0.5401492118835449,0.0
149,750,10,Different,0.22905445098876953,0.5808148384094238,0.0
150,800,10,Equal,0.18309450149536133,0.4610567092895508,0.0
151,800,10,Different,0.1720125675201416,0.40257716178894043,0.0
152,850,10,Equal,0.21098899841308594,0.41781091690063477,0.0
153,850,10,Different,0.21886396408081055,0.3941810131072998,0.0
154,900,10,Equal,0.21791577339172363,0.4408297538757324,0.0
155,900,10,Different,0.23855376243591309,0.45168209075927734,0.0
156,950,10,Equal,0.23948049545288086,0.47185277938842773,0.0
157,950,10,Different,0.24183320999145508,0.4671332836151123,0.0
158,1000,10,Equal,0.24990153312683105,0.5003554821014404,0.0
159,1000,10,Different,0.2626609802246094,0.49779510498046875,0.0
